latitude,longitude,zone_code,hemisphere_NS,hemisphere_WE
-8.5833,119.5,AS-SIN,South,East
4.5333,98.0167,AS-SIN,North,East
3.35,99.4833,AS-SIN,North,East
-2.7333,111.7167,AS-SIN,South,East
-8.5,119.8833,AS-SIN,South,East
-0.6167,127.4833,AS-SIN,South,East
-8.7333,116.0667,AS-SIN,South,East
1.0,104.2667,AS-SIN,North,East
0.7667,117.7333,AS-SIN,North,East
-6.85,112.95,AS-SIN,South,East
-5.1167,119.4,AS-SIN,South,East
-8.4833,115.5167,AS-SIN,South,East
2.1333,117.7333,AS-SIN,North,East
-6.0833,106.9167,AS-SIN,South,East
1.1167,103.55,AS-SIN,North,East
-0.95,100.35,AS-SIN,South,East
-3.0833,120.2333,AS-SIN,South,East
-0.8833,119.85,AS-SIN,South,East
-7.6333,112.9,AS-SIN,South,East
-8.45,117.3667,AS-SIN,South,East
1.0667,102.8667,AS-SIN,North,East
0.6333,101.6167,AS-SIN,North,East
-2.9833,104.8,AS-SIN,South,East
-4.0333,121.5833,AS-SIN,South,East
-0.3,115.8667,AS-SIN,South,East
-3.2833,116.15,AS-SIN,South,East
3.9167,108.3833,AS-SIN,North,East
-8.5667,118.9833,AS-SIN,South,East
1.1333,103.9333,AS-SIN,North,East
-6.9667,110.4833,AS-SIN,South,East
-0.95,117.15,AS-SIN,South,East
-3.2833,116.1667,AS-SIN,South,East
0.9,127.4833,AS-SIN,North,East
-7.2333,112.75,AS-SIN,South,East
-2.75,107.65,AS-SIN,South,East
1.0,103.4333,AS-SIN,North,East
0.9167,104.45,AS-SIN,North,East
1.05,104.2333,AS-SIN,North,East
-5.5667,105.3667,AS-SIN,South,East
-1.0,100.3667,AS-SIN,South,East
-3.0,106.5,AS-SIN,South,East
4.0167,106.4667,AS-SIN,North,East
-9.65,120.2667,AS-SIN,South,East
1.05,127.967,AS-SIN,North,East
-8.3405389,115.0919509,AS-SIN,South,East
-3.6255302,128.1054495,AS-SIN,South,East
-3.65,130.833,AS-SIN,South,East
-0.867,121.583,AS-SIN,South,East
-6.65,140.417,AS-SIN,South,East
-3.3186067,114.5943784,AS-SIN,South,East
4.133,105.133,AS-SIN,North,East
-2.733,112.55,AS-SIN,South,East
-1.591,123.4991,AS-SIN,South,East
-1.1833,136.0666,AS-SIN,South,East
-4.817,119.483,AS-SIN,South,East
1.4403744,125.1216524,AS-SIN,North,East
-8.1166,114.4,AS-SIN,South,East
3.784303,98.694221,AS-SIN,North,East
-8.4166,118.7166,AS-SIN,South,East
4.167,106.233,AS-SIN,North,East
-6.4058172,106.0640179,AS-SIN,South,East
0.1,117.4833,AS-SIN,North,East
-8.817,116.817,AS-SIN,South,East
-1.6,103.616667,AS-SIN,South,East
1.6833,101.45,AS-SIN,North,East
